model,provider,api_model,session_id,session_label,schema_version,design_status,analysis_role,mode,session_started_at,last_recorded_at,declared_context_lengths,observed_context_lengths,planned_repetitions,observed_repetitions_by_length,chronological_blocks,measured_requests,nonmeasured_requests,has_complete_session_end,has_request_boundaries,raw_file,schedule_file,notes
GPT-5.6 Sol,openai,gpt-5.6-sol,20260812T184143Z-1b3947c0,sol-cache-disabled-smoke,legacy,legacy_balanced,cache-disabled smoke test,uncached,2026-08-12T14:41:43.067804-04:00,2026-08-12T18:42:19.725593+00:00,100000;250000;500000;750000,100000;250000;500000;750000,1,100000:1;250000:1;500000:1;750000:1,1,4,0,false,false,data/raw/exploratory/20260812T184143Z-1b3947c0.jsonl,data/schedules/exploratory/20260812T184143Z-1b3947c0.csv,Older result schema; balanced request counts but no session_end record.
GPT-5.6 Sol,openai,gpt-5.6-sol,20260812T185320Z-b3adf03b,sol-cached-5hits,legacy,legacy_balanced,large-prefix cache-hit experiment,cached,2026-08-12T14:53:20.850109-04:00,2026-08-12T18:54:37.340538+00:00,100000;250000;500000,100000;250000;500000,5,100000:5;250000:5;500000:5,5,15,3,false,false,data/raw/exploratory/20260812T185320Z-b3adf03b.jsonl,data/schedules/exploratory/20260812T185320Z-b3adf03b.csv,Older result schema; approximately 10k new tokens per measured request.
GPT-5.6 Sol,openai,gpt-5.6-sol,20260812T190230Z-7a3584cc,sol-cached-1k-suffix-5hits,legacy,legacy_balanced,short-suffix cache-hit experiment,cached,2026-08-12T15:02:30.855672-04:00,2026-08-12T19:03:57.558969+00:00,100000;250000;500000,91000;241000;491000,5,91000:5;241000:5;491000:5,5,15,0,false,false,data/raw/exploratory/20260812T190230Z-7a3584cc.jsonl,data/schedules/exploratory/20260812T190230Z-7a3584cc.csv,Reused cache state from the preceding Sol session; approximately 1k new tokens. Observed targets differ from header nominal lengths.
Claude Sonnet 5,anthropic,claude-sonnet-5,20260812T193724Z-20542404,sonnet5-uncached-fill-points,legacy,legacy_balanced,uncached fill-point experiment,uncached,2026-08-12T15:37:24.273530-04:00,2026-08-12T19:39:10.826726+00:00,375000;625000,375000;625000,5,375000:5;625000:5,5,10,0,false,false,data/raw/exploratory/20260812T193724Z-20542404.jsonl,data/schedules/exploratory/20260812T193724Z-20542404.csv,Older result schema; adds only two intermediate context lengths.
Claude Sonnet 5,anthropic,claude-sonnet-5,20260812T210421Z-0d4debe7,sonnet5-shared-prefix-affinity-pilot,legacy,partial,shared-prefix affinity pilot,shared_prefix_cached,2026-08-12T17:04:21.852768-04:00,2026-08-12T21:05:21.997122+00:00,100000;375000;750000,750000,5,750000:1,1,1,1,false,false,data/raw/exploratory/20260812T210421Z-0d4debe7.jsonl,data/schedules/exploratory/20260812T210421Z-0d4debe7.csv,Interrupted after one measured request; continuation is stored as a separate session.
Claude Sonnet 5,anthropic,claude-sonnet-5,20260812T210627Z-7267b03c,sonnet5-shared-prefix-affinity-pilot-resume,legacy,legacy_balanced,shared-prefix affinity pilot continuation,shared_prefix_cached,2026-08-12T17:06:27.524073-04:00,2026-08-12T21:08:30.834133+00:00,100000;375000;750000,100000;375000;750000,5,100000:5;375000:5;750000:4,5,14,1,false,false,data/raw/exploratory/20260812T210627Z-7267b03c.jsonl,data/schedules/exploratory/20260812T210627Z-7267b03c.csv,Older result schema; counts match the per-length repetition plan recorded in the header.
GPT-5.6 Sol,openai,gpt-5.6-sol,20260813T015016Z-f1e93aba,preflight-night,2,complete_balanced,night preflight,shared_prefix_cached,2026-08-12T21:50:16.436728-04:00,2026-08-13T01:50:57.510378+00:00,100000,100000,2,100000:2,2,2,1,true,true,data/raw/exploratory/20260813T015016Z-f1e93aba.jsonl,data/schedules/exploratory/20260813T015016Z-f1e93aba.csv,Single-length preflight; not a context-scaling dataset.
Claude Opus 5,anthropic,claude-opus-5,20260813T015109Z-12b7c4d4,preflight-night,2,complete_balanced,night preflight,shared_prefix_cached,2026-08-12T21:51:09.256136-04:00,2026-08-13T01:51:33.120130+00:00,100000,100000,2,100000:2,2,2,1,true,true,data/raw/exploratory/20260813T015109Z-12b7c4d4.jsonl,data/schedules/exploratory/20260813T015109Z-12b7c4d4.csv,Single-length preflight; not a context-scaling dataset.
GPT-5.6 Sol,openai,gpt-5.6-sol,20260813T103055Z-e05d7bbf,morning-eastern-checkpoint-1,2,complete_balanced,morning shared-prefix checkpoint,shared_prefix_cached,2026-08-13T06:30:55.874505-04:00,2026-08-13T10:34:47.081673+00:00,100000;250000;375000;750000,100000;250000;375000;750000,3,100000:3;250000:3;375000:3;750000:3,3,12,1,true,true,data/raw/exploratory/20260813T103055Z-e05d7bbf.jsonl,data/schedules/exploratory/20260813T103055Z-e05d7bbf.csv,"Complete four-length, three-block checkpoint."
Claude Opus 5,anthropic,claude-opus-5,20260813T103530Z-338060d6,morning-eastern-checkpoint-1,2,complete_balanced,morning shared-prefix checkpoint,shared_prefix_cached,2026-08-13T06:35:30.803070-04:00,2026-08-13T10:38:09.812043+00:00,100000;375000;750000,100000;375000;750000,3,100000:3;375000:3;750000:3,3,9,1,true,true,data/raw/exploratory/20260813T103530Z-338060d6.jsonl,data/schedules/exploratory/20260813T103530Z-338060d6.csv,"Complete three-length, three-block checkpoint."
